name,position,pass_att,pass_cmp,pass_td,pass_yds,interceptions,receptions,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles,source_points
Josh Allen,QB,474.0,313.0,24.5,3624.5,10.0,,,,110.0,499.5,11.5,3.0,349.93
Jahmyr Gibbs,RB,,,,,,60.5,449.5,4.5,255.0,1199.5,12.5,1.0,327.40
Puka Nacua,WR,,,,,,107.0,1400.0,10.0,10.0,55.0,,1.0,312.50
Bijan Robinson,RB,,,,,,65.5,574.5,3.5,280.0,1174.5,8.5,2.0,310.40
Drake Maye,QB,505.0,344.0,26.5,3799.5,11.0,,,,85.0,424.5,3.5,3.0,306.43
Ja'Marr Chase,WR,,,,,,108.5,1324.5,10.5,3.0,16.0,,1.0,305.55
Joe Burrow,QB,549.0,377.0,32.5,3999.5,10.0,,,,46.0,138.0,2.0,3.0,303.78
Jalen Hurts,QB,462.0,300.0,22.5,3249.5,8.0,,,,120.0,424.5,8.5,3.0,301.43
Trevor Lawrence,QB,522.0,329.0,25.5,3774.5,12.0,,,,79.0,339.0,5.0,3.0,300.88
Lamar Jackson,QB,415.0,270.0,24.5,3249.5,8.0,,,,119.0,599.5,3.5,4.0,294.93
Brock Purdy,QB,494.0,333.0,27.5,3799.5,13.0,,,,64.0,242.0,3.0,3.0,289.18
Jaxon Smith-Njigba,WR,,,,,,101.5,1324.5,8.5,6.0,33.0,,1.0,288.25
Amon-Ra St. Brown,WR,,,,,,104.5,1249.5,9.5,3.0,16.0,,1.0,288.05
Christian McCaffrey,RB,,,,,,60.5,574.5,4.5,240.0,949.5,8.5,2.0,286.90
Justin Herbert,QB,533.0,355.0,25.5,3650.5,10.0,,,,70.0,338.0,3.0,3.0,285.82
Caleb Williams,QB,514.0,316.0,24.5,3649.5,10.0,,,,75.0,373.0,3.0,3.0,285.28
Jayden Daniels,QB,479.0,318.0,21.5,3249.5,9.0,,,,126.0,549.5,4.5,3.0,284.93
Jared Goff,QB,533.0,362.0,29.5,4099.5,10.0,,,,29.0,53.0,1.0,3.0,281.28
Bo Nix,QB,555.0,366.0,24.5,3499.5,12.0,,,,76.0,330.0,4.0,3.0,278.98
Dak Prescott,QB,580.0,389.0,27.5,3999.5,13.0,,,,44.0,152.0,1.0,2.0,278.18
Baker Mayfield,QB,526.0,343.0,25.5,3599.5,13.0,,,,63.0,306.0,2.0,4.0,269.58
Matthew Stafford,QB,528.0,343.0,30.5,3899.5,11.0,,,,27.0,19.0,,2.0,268.88
Jaxson Dart,QB,495.0,322.0,19.5,3150.5,12.0,,,,106.0,449.5,5.5,3.0,265.97
Jonathan Taylor,RB,,,,,,36.0,278.0,1.0,287.0,1224.5,11.5,2.0,259.25
Jordan Love,QB,501.0,328.0,24.5,3549.5,10.0,,,,51.0,202.0,2.0,3.0,258.18
CeeDee Lamb,WR,,,,,,91.5,1199.5,7.5,3.0,16.0,,1.0,258.05
Tyler Shough,QB,539.0,354.0,20.5,3449.5,12.0,,,,84.0,343.0,3.0,3.0,256.28
Patrick Mahomes,QB,555.0,370.0,24.5,3649.5,12.0,,,,47.0,202.0,1.0,2.0,256.18
Sam Darnold,QB,478.0,317.0,23.5,3699.5,12.0,,,,44.0,157.0,2.0,3.0,253.68
James Cook,RB,,,,,,31.0,268.0,2.0,264.0,1224.5,10.5,2.0,253.25
Kyler Murray,QB,479.0,320.0,18.5,3049.5,9.0,,,,85.0,503.0,3.0,3.0,251.28
C.J. Stroud,QB,505.0,317.0,22.5,3549.5,12.0,,,,53.0,201.0,2.0,3.0,248.08
Drake London,WR,,,,,,89.5,1099.5,7.5,1.0,6.0,,,247.05
Justin Jefferson,WR,,,,,,92.5,1149.5,6.5,1.0,6.0,,,247.05
Malik Willis,QB,419.0,271.0,14.5,2949.5,9.0,,,,125.0,549.5,3.5,2.0,238.93
Ashton Jeanty,RB,,,,,,50.0,383.0,2.0,281.0,974.5,7.5,2.0,238.75
A.J. Brown,WR,,,,,,78.5,1124.5,7.5,1.0,6.0,,,238.55
De'Von Achane,RB,,,,,,57.5,416.0,2.0,239.0,974.5,5.5,2.0,237.55
Trey McBride,TE,,,,,,97.5,999.5,6.5,,,,1.0,236.45
Nico Collins,WR,,,,,,77.5,1149.5,6.5,3.0,18.0,,,235.25
Derrick Henry,RB,,,,,,17.0,133.0,1.0,281.0,1249.5,12.5,2.0,234.25
Omarion Hampton,RB,,,,,,48.0,364.0,2.0,232.0,949.5,7.5,2.0,232.35
Saquon Barkley,RB,,,,,,37.0,277.0,2.0,271.0,1099.5,7.5,1.0,231.65
Chase Brown,RB,,,,,,57.0,417.0,3.0,220.0,849.5,5.5,2.0,230.65
Rashee Rice,WR,,,,,,88.0,964.0,7.0,6.0,29.0,,1.0,229.30
Chris Olave,WR,,,,,,87.5,1049.5,5.5,1.0,6.0,,,228.05
Bryce Young,QB,493.0,311.0,20.5,2924.5,11.0,,,,51.0,245.0,3.0,3.0,226.48
Cam Ward,QB,541.0,341.0,20.5,3299.5,13.0,,,,46.0,182.0,2.0,4.0,225.18
Malik Nabers,WR,,,,,,82.0,1057.0,5.5,3.0,16.0,,,224.30
Emeka Egbuka,WR,,,,,,77.0,1029.0,7.0,3.0,21.0,,,224.00
Geno Smith,QB,489.0,325.0,22.0,3372.0,14.0,,,,45.0,156.0,1.0,4.0,222.48
Daniel Jones,QB,469.0,312.0,18.5,3299.5,11.0,,,,47.0,191.0,2.0,3.0,222.08
George Pickens,WR,,,,,,75.5,1049.5,6.5,1.0,6.0,,,222.05
Brock Bowers,TE,,,,,,82.5,924.5,7.5,4.0,18.0,,1.0,221.75
DeVonta Smith,WR,,,,,,79.5,1049.5,5.5,1.0,6.0,,,218.05
Javonte Williams,RB,,,,,,37.0,239.0,1.0,239.0,949.5,9.5,1.0,216.85
Kenneth Walker,RB,,,,,,37.0,272.0,2.0,259.0,949.5,7.5,1.0,214.15
Kyren Williams,RB,,,,,,32.0,219.0,2.0,228.0,949.5,9.5,2.0,213.85
Garrett Wilson,WR,,,,,,84.5,999.5,4.5,3.0,16.0,,,213.05
Breece Hall,RB,,,,,,37.0,314.0,2.0,220.0,986.0,6.0,2.0,211.00
Tetairoa McMillan,WR,,,,,,72.5,949.5,6.5,1.0,6.0,,,209.05
Aaron Rodgers,QB,403.0,261.0,21.5,3149.5,7.0,,,,21.0,60.0,,2.0,208.98
Zay Flowers,WR,,,,,,74.5,999.5,5.5,5.0,29.0,,1.0,208.35
Tee Higgins,WR,,,,,,64.5,874.5,8.5,1.0,6.0,,,205.55
Josh Jacobs,RB,,,,,,33.0,258.0,1.0,217.0,918.0,8.0,2.0,202.60
Jeremiyah Love,RB,,,,,,47.0,351.0,2.0,205.0,774.5,5.5,1.0,202.55
Terry McLaurin,WR,,,,,,71.5,924.5,5.5,1.0,7.0,,,197.65
Davante Adams,WR,,,,,,60.5,774.5,9.5,,,,,196.95
Sam LaPorta,TE,,,,,,76.0,842.0,6.0,1.0,3.0,,,196.50
D'Andre Swift,RB,,,,,,37.0,272.0,1.0,217.0,824.5,7.5,1.0,195.65
Cam Skattebo,RB,,,,,,42.0,301.0,1.0,214.0,799.5,6.5,1.0,195.05
Ladd McConkey,WR,,,,,,70.5,899.5,5.5,2.0,12.0,,,194.65
Jaylen Waddle,WR,,,,,,68.5,899.5,5.5,3.0,18.0,,,193.25
Travis Etienne,RB,,,,,,36.0,287.0,2.0,226.0,824.5,5.5,1.0,192.15
Jameson Williams,WR,,,,,,60.0,924.5,5.5,8.0,44.0,,,189.85
Quinshon Judkins,RB,,,,,,32.0,228.0,1.0,244.0,899.5,6.5,1.0,187.75
Tyler Warren,TE,,,,,,74.5,774.5,5.5,5.0,19.0,,,186.85
Colston Loveland,TE,,,,,,69.5,824.5,5.5,1.0,4.0,,,185.35
David Montgomery,RB,,,,,,32.0,235.0,1.0,236.0,799.5,7.5,1.0,184.45
Rome Odunze,WR,,,,,,68.0,824.5,5.5,1.0,6.0,,,184.05
Mike Evans,WR,,,,,,59.5,824.5,6.5,,,,,182.95
Luther Burden,WR,,,,,,64.5,849.5,4.5,10.0,61.0,,,182.55
DJ Moore,WR,,,,,,59.5,824.5,6.5,5.0,29.0,,1.0,181.85
Parker Washington,WR,,,,,,62.5,824.5,4.5,10.0,58.0,,,179.75
