rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
1,RB1,Jahmyr Gibbs,RB,DET,324.6,266.8,384.8,143.6,1.5,0.5,364.9,ACTIVE,dk+hist,0.0,0.0,0.0,1199.5,12.23,52.37,449.5,6.12,1.39
2,RB2,Bijan Robinson,RB,ATL,303.2,250.5,357.5,122.2,2.6,0.6,352.8,ACTIVE,dk+hist,0.0,0.0,0.0,1174.5,8.72,61.2,574.5,3.36,2.7
3,WR1,Ja'Marr Chase,WR,CIN,302.8,246.4,360.3,121.4,4.1,1.1,337.5,ACTIVE,dk+hist,0.0,0.0,0.0,20.52,0.0,109.81,1324.5,10.06,0.93
4,WR2,Puka Nacua,WR,LAR,296.5,241.8,353.3,115.1,4.7,0.7,356.3,QUESTIONABLE,dk+hist,0.0,0.0,0.0,80.97,1.19,103.25,1324.5,7.87,0.82
5,RB3,Christian McCaffrey,RB,SF,294.1,243.1,347.3,113.1,6.8,1.8,343.2,QUESTIONABLE,dk+hist,0.0,0.0,0.0,949.5,8.54,68.5,574.5,4.15,1.49
6,WR3,Amon-Ra St. Brown,WR,DET,291.5,237.0,346.8,110.1,8.4,2.3,324.0,ACTIVE,dk+hist,2.84,0.42,0.0,7.99,0.0,107.55,1249.5,9.55,0.47
7,WR4,Jaxon Smith-Njigba,WR,SEA,278.7,226.0,332.1,97.3,5.8,-1.2,326.7,ACTIVE,dk+hist,14.39,0.0,0.0,32.49,0.0,95.59,1324.5,8.11,0.89
8,RB4,De'Von Achane,RB,MIA,277.7,230.3,326.4,96.7,12.1,4.1,293.5,ACTIVE,dk+hist,0.0,0.0,0.0,974.5,4.93,69.61,507.81,5.04,0.0
9,TE1,Trey McBride,TE,ARI,240.5,194.4,286.6,87.4,20.0,11.0,241.9,ACTIVE,dk+hist,0.0,0.0,0.0,0.85,0.45,99.88,999.5,6.31,0.0
10,RB5,Jonathan Taylor,RB,IND,262.7,212.0,314.9,81.7,8.0,-2.0,316.5,ACTIVE,dk+hist,0.0,0.0,0.0,1249.5,11.14,35.2,277.85,1.79,1.42
11,RB6,Ashton Jeanty,RB,LV,255.8,210.6,303.0,74.8,16.8,5.8,280.9,ACTIVE,dk+hist,0.0,0.0,0.0,974.5,7.21,52.37,335.19,5.32,1.36
12,WR5,CeeDee Lamb,WR,DAL,255.5,207.3,304.3,74.1,10.7,-1.3,293.5,ACTIVE,dk+hist,0.0,0.0,0.0,27.47,0.0,88.9,1199.5,7.46,0.45
13,RB7,Chase Brown,RB,CIN,251.0,206.5,297.8,70.0,23.6,10.6,272.1,ACTIVE,dk+hist,0.0,0.0,0.0,854.11,5.82,61.84,399.49,4.97,0.48
14,RB8,James Cook,RB,BUF,250.0,200.5,301.2,69.0,12.8,-1.2,279.6,ACTIVE,dk+hist,0.0,0.0,0.0,1224.5,10.06,31.86,275.25,2.14,2.54
15,TE2,Brock Bowers,TE,LV,221.5,178.3,265.7,68.4,24.0,9.0,240.9,ACTIVE,dk+hist,0.0,0.0,0.0,5.26,0.0,86.38,924.5,7.02,0.0
16,RB9,Josh Jacobs,RB,GB,248.3,198.5,302.1,67.3,35.1,19.1,259.1,QUESTIONABLE,dk+hist,0.0,0.0,0.0,974.5,14.27,35.21,300.02,1.05,3.12
