rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
1,RB1,Jahmyr Gibbs,RB,DET,324.6,265.8,384.2,161.1,1.4,0.4,364.9,ACTIVE,dk+hist,0.0,0.0,0.0,1199.5,12.23,52.37,449.5,6.12,1.39
2,RB2,Bijan Robinson,RB,ATL,303.2,251.3,356.8,139.7,2.5,0.5,352.8,ACTIVE,dk+hist,0.0,0.0,0.0,1174.5,8.72,61.2,574.5,3.36,2.7
3,WR1,Ja'Marr Chase,WR,CIN,302.8,247.0,361.7,139.1,3.9,0.9,337.5,ACTIVE,dk+hist,0.0,0.0,0.0,20.52,0.0,109.81,1324.5,10.06,0.93
4,WR2,Puka Nacua,WR,LAR,296.5,241.5,353.8,132.8,5.2,1.2,356.3,QUESTIONABLE,dk+hist,0.0,0.0,0.0,80.97,1.19,103.25,1324.5,7.87,0.82
5,RB3,Christian McCaffrey,RB,SF,294.1,242.3,346.5,130.6,7.3,2.3,343.2,QUESTIONABLE,dk+hist,0.0,0.0,0.0,949.5,8.54,68.5,574.5,4.15,1.49
6,QB1,Josh Allen,QB,BUF,338.9,274.9,405.5,128.8,22.1,16.1,369.7,ACTIVE,dk+hist,3624.5,24.5,8.44,499.5,11.24,0.0,2.99,0.4,3.62
7,WR3,Amon-Ra St. Brown,WR,DET,291.5,238.0,346.7,127.8,8.2,1.2,324.0,ACTIVE,dk+hist,2.84,0.42,0.0,7.99,0.0,107.55,1249.5,9.55,0.47
8,WR4,Jaxon Smith-Njigba,WR,SEA,278.7,225.5,331.4,115.0,5.7,-2.3,326.7,ACTIVE,dk+hist,14.39,0.0,0.0,32.49,0.0,95.59,1324.5,8.11,0.89
9,RB4,De'Von Achane,RB,MIA,277.7,229.6,326.8,114.2,12.0,3.0,293.5,ACTIVE,dk+hist,0.0,0.0,0.0,974.5,4.93,69.61,507.81,5.04,0.0
10,RB5,Jonathan Taylor,RB,IND,262.7,212.7,312.9,99.2,7.7,-2.3,316.5,ACTIVE,dk+hist,0.0,0.0,0.0,1249.5,11.14,35.2,277.85,1.79,1.42
