player_id,name,team,position,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,games,same_2026_team,on_2026_roster,workload_share,source,source_url,as_of,notes
5193580,Cameron Dickey,TTU,RB,209,1124,14,25,224,2,14,True,True,0.47,cfbstats,https://cfbstats.com/2025/team/700/rushing/index.html,2026-08-25,2025 TTU 14g. Overlapping with Williams; stats partition the team RB pool.
5086393,J'Koby Williams,TTU,RB,155,868,6,35,388,2,14,True,True,0.33,cfbstats,https://cfbstats.com/2025/team/700/rushing/index.html,2026-08-25,2025 TTU 14g. Also used in the slot (Joker).
4917949,Quinten Joyner,TTU,RB,108,478,3,12,89,1,12,False,True,0.17,cfbstats,https://redraiderswire.usatoday.com/story/sports/college/red-raiders/football/2026/07/30/texas-tech-football-running-backs-preview-2026/91096409007/,2026-08-25,2024 USC. Missed 2025. Volume does not add to the 2026 TTU pool; workload is a 2026 share of that pool.
residual-TTU-Hill,Adam Hill,TTU,RB,45,240,0,0,0,0,8,True,False,,cfbstats,https://cfbstats.com/2025/team/700/rushing/index.html,2026-08-25,2025 TTU RB (not on 2026 board). Off-roster residual: volume stays in the 2026 TTU pool.
5146712,Dylan Riley,BOIS,RB,,1125,10,15,149,2,14,True,True,0.48,media,https://www.si.com/college/boise-state/football/projecting-boise-state-depth-chart-for-week-1-of-2026-college-football-season,2026-08-25,2025 Boise lead. Attempts not separately sourced.
5147379,Sire Gaines,BOIS,RB,,811,8,11,72,1,14,True,True,0.34,media,https://www.idahostatesman.com/sports/college/mountain-west/boise-state-university/boise-state-football/article315201970.html,2026-08-25,2025 Boise 1B. Attempts not separately sourced.
5124975,Juelz Goff,BOIS,RB,,0,0,0,0,0,0,True,True,0.12,media,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/boise-state/90130/,2026-08-25,Pitt transfer. No 2025 Boise volume; 2026 residual share of the Boise pool.
5295318,Waymond Jordan,USC,RB,88,576,5,7,55,0,6,True,True,0.57,cfbstats/depth,https://www.si.com/college/usc/football/usc-trojans-waymond-jordan-shares-candid-insights-injury-recovery,2026-08-25,2025 USC 6g then ankle. Pace up to 12 fantasy weeks from when-playing rate.
5233016,King Miller,USC,RB,156,972,8,16,111,0,13,True,True,0.33,ESPN,https://www.espn.com/college-football/player/_/id/5233016/king-miller,2026-08-25,2025 USC 13g including bowl: 156-972-8 and 16-111-0 receiving (was unsourced previously).
5144164,Riley Wormley,USC,RB,5,18,0,2,26,0,3,True,True,0.1,cfbstats,https://cfbstats.com/2025/team/657/rushing/index.html,2026-08-25,3g sample. Workload is residual/field share of the USC RB pool not a 65% job-win scenario.
5093886,Kamari Moulton,IOWA,RB,170,878,5,16,97,0,11,True,True,0.5,cfbstats,https://cfbstats.com/2025/player/312/2000034/index.html,2026-08-25,2025 Iowa 11g (missed two). Returning rush leader. Pace up to 12 from when-playing rate.
5155048,L.J. Phillips Jr.,IOWA,RB,295,1920,19,28,195,1,15,False,True,0.38,USD/Iowa,https://hawkeyesports.com/sports/football/roster/player/lj-phillips-jr,2026-08-25,2025 South Dakota FCS 15g. Volume does not add to the Iowa pool; workload is a 2026 share of Iowa RB volume.
5081332,Jaziun Patterson,IOWA,RB,60,296,0,0,0,0,10,True,False,,cfbstats,https://cfbstats.com/2025/team/312/rushing/index.html,2026-08-25,2025 Iowa RB then 2026 MSU. Off-roster residual: his 2025 Iowa volume stays in the 2026 Iowa pool.
5142226,Xavier Williams,IOWA,RB,49,285,3,0,0,0,10,True,True,,cfbstats,https://cfbstats.com/2025/team/312/rushing/index.html,2026-08-25,2025 Iowa returning RB depth. Residual share of the Iowa pool.
5246572,Nathan McNeil,IOWA,RB,37,169,0,0,0,0,9,True,True,,cfbstats,https://cfbstats.com/2025/team/312/rushing/index.html,2026-08-25,2025 Iowa returning RB depth. Residual share of the Iowa pool.
