name,role,games
Ahmad Hardy,1,10
Keelon Russell,1,
Davis Warren,1,
Billy Edwards Jr.,1,
Luke Weaver,1,
Ashton Daniels,1,
Quinn Henicle,1,
Anthony Colandrea,1,
Faizon Brandon,1,
David McComb,1,
Rodney Nelson,contested,
Cameron Dickey,contested,
J'Koby Williams,contested,
Dylan Riley,contested,
Sire Gaines,contested,
King Miller,contested,
Waymond Jordan,contested,
Joe Jackson,contested,
Jeremiah Cobb,1,
Bryson Washington,contested,
Jahiem White,1,
Nick Osho,contested,
Jordan Marshall,1,
Jackson Arnold,contested,
Alex Orji,contested,
Jordon Davison,1,
Kamari Moulton,contested,
L.J. Phillips Jr.,contested,
