name,team,rank,pos_rank,playerId,position,role,proj_points,draft_value
Kewan Lacy,MISS,1,RB1,5086388,RB,1.0,252.6,93.3
LJ Martin,BYU,2,RB2,4918126,RB,1.0,240.4,81.1
Cam Cook,WVU,3,RB3,4918103,RB,1.0,231.2,71.9
Byrum Brown,AUB,4,QB1,4880272,QB,1.0,313.9,68.8
Cameron Dickey,TTU,5,RB4,5193580,RB,1.0,227.1,67.8
Conner Weigman,HOU,6,QB2,4685574,QB,1.0,312.1,67.0
Jordan Marshall,MICH,7,RB5,5079574,RB,1.0,225.0,65.7
DeSean Bishop,TENN,8,RB6,4921108,RB,1.0,224.2,64.9
Brad Jackson,TXST,9,QB3,5148803,QB,1.0,310.0,64.9
Evan Dickens,BC,10,RB7,5076122,RB,1.0,224.1,64.8
Jai'Den Thomas,UNLV,11,RB8,5125754,RB,1.0,223.5,64.2
Beau Sparks,TXST,12,WR1,5152414,WR,1.0,214.9,63.4
Dylan Riley,BOIS,13,RB9,5146712,RB,1.0,215.5,56.2
Jeremiah Smith,OSU,14,WR2,5079720,WR,1.0,207.1,55.6
Antwan Raymond,RUTG,15,RB10,5209945,RB,1.0,213.9,54.6
Will Henderson III,UTSA,16,RB11,5223167,RB,1.0,213.4,54.1
Ahmad Hardy,MIZ,17,RB12,5197065,RB,1.0,211.6,52.3
Joe Jackson,KSU,18,RB13,5078916,RB,1.0,210.7,51.4
Braylon Staley,TENN,19,WR3,5132629,WR,1.0,200.5,49.0
CJ Miller,TOL,20,RB14,5092811,RB,1.0,205.6,46.3
Wayshawn Parker,UTAH,21,RB15,5173431,RB,1.0,205.5,46.2
Mike Matthews,TENN,22,WR4,5079580,WR,1.0,195.1,43.6
Caleb Hawkins,OKST,23,RB16,5258016,RB,1.0,202.6,43.3
Rodney Hammond Jr.,SAC,24,RB17,4431328,RB,1.0,201.0,41.7
Devon Dampier,UTAH,25,QB4,5105849,QB,1.0,286.4,41.3
Mario Craver,TA&M,26,WR5,5079345,WR,1.0,192.3,40.8
KJ Duff,RUTG,27,WR6,5084771,WR,1.0,191.0,39.5
Sedrick Alexander,VAN,28,RB18,5030333,RB,1.0,198.8,39.5
Easton Messer,FAU,29,WR7,4914830,WR,1.0,190.4,38.9
