rank,pos_rank,starter_vorp_rank,draft_adjusted_rank,managed_points_rank,ppg_rank,floor_rank,ceiling_rank,bench_rank,upside_rank,playerId,name,team,position,projected_games,projected_active_games,projected_games_available,projected_ppg,projected_points_if_active,raw_season_points,proj_points,replacement_points_during_absences,managed_season_points,managed_vorp,starter_vorp,qb35_adjusted_value,qb42_adjusted_value,draft_adjusted_value,draft_value,p10,p25,p50,p75,p90,starter_probability,expected_opportunity_share,role,role_confidence,injury_confidence,breakout_probability,projection_run_date,role_source_date,injury_source_date,source_url,source_as_of,scoring_ppr,waiver_replacement_rank,waiver_replacement_ppg,stash_cost
1,RB1,1,1,19,19,19,22,4633,38,5086388,Kewan Lacy,MISS,RB,12.0,12.0,12.0,21.05,252.6,252.6,252.6,0.0,252.6,94.9,94.9,94.9,94.9,94.9,94.9,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
2,QB1,5,2,1,1,1,1,4604,1,4880272,Byrum Brown,AUB,QB,12.0,12.0,12.0,26.16,313.9,313.9,313.9,0.0,313.9,68.8,68.8,85.6,89.9,89.9,89.9,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
3,QB2,7,3,2,2,2,2,4605,2,4685574,Conner Weigman,HOU,QB,12.0,12.0,12.0,26.01,312.1,312.1,312.1,0.0,312.1,67.0,67.0,83.8,88.1,88.1,88.1,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
4,QB3,11,4,3,3,3,3,4606,3,5148803,Brad Jackson,TXST,QB,12.0,12.0,12.0,25.83,310.0,310.0,310.0,0.0,310.0,64.9,64.9,81.7,86.0,86.0,86.0,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
5,RB2,2,5,33,33,33,36,4634,47,4918126,LJ Martin,BYU,RB,12.0,12.0,12.0,20.03,240.4,240.4,240.4,0.0,240.4,82.7,82.7,82.7,82.7,82.7,82.7,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
6,RB3,3,6,37,37,37,40,4635,48,4918103,Cam Cook,WVU,RB,12.0,12.0,12.0,19.27,231.2,231.2,231.2,0.0,231.2,73.5,73.5,73.5,73.5,73.5,73.5,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
7,RB4,6,7,43,44,43,46,4636,49,5079574,Jordan Marshall,MICH,RB,12.0,12.0,12.0,18.75,225.0,225.0,225.0,0.0,225.0,67.3,67.3,67.3,67.3,67.3,67.3,,,,,,0.9,,1.0,0.8,1.0,,2026-08-25,2026-08-12,,https://www.freep.com/story/sports/college/university-michigan/wolverines/2026/08/12/michigan-football-depth-chart-offense/91255241007/,2026-08-12,0.5,,,0.0
8,RB5,8,8,46,47,46,49,4637,50,4921108,DeSean Bishop,TENN,RB,12.0,12.0,12.0,18.68,224.2,224.2,224.2,0.0,224.2,66.5,66.5,66.5,66.5,66.5,66.5,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
9,RB6,9,9,48,49,48,53,4639,53,5076122,Evan Dickens,BC,RB,12.0,12.0,12.0,18.68,224.1,224.1,224.1,0.0,224.1,66.4,66.4,66.4,66.4,66.4,66.4,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
10,RB7,10,10,50,51,50,55,4640,55,5125754,Jai'Den Thomas,UNLV,RB,12.0,12.0,12.0,18.62,223.5,223.5,223.5,0.0,223.5,65.8,65.8,65.8,65.8,65.8,65.8,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
11,WR1,12,11,61,62,61,66,4641,66,5152414,Beau Sparks,TXST,WR,12.0,12.0,12.0,17.91,214.9,214.9,214.9,0.0,214.9,57.2,63.4,63.4,63.4,63.4,63.4,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
12,QB4,22,12,4,4,4,4,4607,4,5105849,Devon Dampier,UTAH,QB,12.0,12.0,12.0,23.87,286.4,286.4,286.4,0.0,286.4,41.3,41.3,58.1,62.4,62.4,62.4,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
13,QB5,36,13,5,5,5,5,4608,5,4870857,Avery Johnson,KSU,QB,12.0,12.0,12.0,23.36,280.3,280.3,280.3,0.0,280.3,35.2,35.2,52.0,56.3,56.3,56.3,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
14,RB8,13,14,62,63,62,67,4642,67,5209945,Antwan Raymond,RUTG,RB,12.0,12.0,12.0,17.82,213.9,213.9,213.9,0.0,213.9,56.2,56.2,56.2,56.2,56.2,56.2,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
15,QB6,38,15,6,6,6,6,4609,6,4870971,Marcel Reed,TA&M,QB,12.0,12.0,12.0,23.32,279.9,279.9,279.9,0.0,279.9,34.8,34.8,51.6,55.9,55.9,55.9,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
16,RB9,14,16,64,65,64,69,4643,69,5223167,Will Henderson III,UTSA,RB,12.0,12.0,12.0,17.78,213.4,213.4,213.4,0.0,213.4,55.7,55.7,55.7,55.7,55.7,55.7,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
17,WR2,15,17,75,76,75,80,4644,80,5079720,Jeremiah Smith,OSU,WR,12.0,12.0,12.0,17.26,207.1,207.1,207.1,0.0,207.1,49.4,55.6,55.6,55.6,55.6,55.6,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
18,QB7,42,18,7,7,7,7,4610,7,4695600,Bryson Barnes,USU,QB,12.0,12.0,12.0,22.78,273.4,273.4,273.4,0.0,273.4,28.3,28.3,45.1,49.4,49.4,49.4,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
19,WR3,16,19,86,87,86,92,4650,92,5132629,Braylon Staley,TENN,WR,12.0,12.0,12.0,16.71,200.5,200.5,200.5,0.0,200.5,42.8,49.0,49.0,49.0,49.0,49.0,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
20,RB10,17,20,77,78,77,83,4646,83,5092811,CJ Miller,TOL,RB,12.0,12.0,12.0,17.13,205.6,205.6,205.6,0.0,205.6,47.9,47.9,47.9,47.9,47.9,47.9,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
21,RB11,18,21,78,79,78,84,4647,84,5173431,Wayshawn Parker,UTAH,RB,12.0,12.0,12.0,17.12,205.5,205.5,205.5,0.0,205.5,47.8,47.8,47.8,47.8,47.8,47.8,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
22,QB8,48,22,8,8,8,8,4611,8,5125715,Colton Joseph,WIS,QB,12.0,12.0,12.0,22.47,269.6,269.6,269.6,0.0,269.6,24.5,24.5,41.3,45.6,45.6,45.6,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
23,RB12,19,23,83,84,83,89,4648,89,5258016,Caleb Hawkins,OKST,RB,12.0,12.0,12.0,16.88,202.6,202.6,202.6,0.0,202.6,44.9,44.9,44.9,44.9,44.9,44.9,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
24,WR4,20,24,96,97,96,105,4657,105,5079580,Mike Matthews,TENN,WR,12.0,12.0,12.0,16.26,195.1,195.1,195.1,0.0,195.1,37.4,43.6,43.6,43.6,43.6,43.6,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
25,RB13,21,25,85,86,85,91,4649,91,4431328,Rodney Hammond Jr.,SAC,RB,12.0,12.0,12.0,16.75,201.0,201.0,201.0,0.0,201.0,43.3,43.3,43.3,43.3,43.3,43.3,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
26,RB14,23,26,87,88,87,93,4651,93,5030333,Sedrick Alexander,VAN,RB,12.0,12.0,12.0,16.57,198.8,198.8,198.8,0.0,198.8,41.1,41.1,41.1,41.1,41.1,41.1,,,,,,,,1.0,,1.0,,2026-08-25,,,,,0.5,,,0.0
